"ID","OldNew","Voice_or_not","correct","response","response_time"
"ID04","Old","Voice","1","o","1991"
"ID03","Old","Voice","1","o","1548"
"ID01","New","Voice","1","n","934"
"ID03","New","Voice","1","n","1014"
"ID02","Old","Voice","1","o","1641"
"ID01","Old","Voice","1","o","3440"
"ID02","New","Voice","1","n","960"
"ID04","New","Voice","1","n","1019"
"ID01","Old","NonVoice","1","o","2426"
"ID04","Old","NonVoice","1","o","1964"
"ID02","Old","NonVoice","1","o","1197"
"ID02","New","NonVoice","1","n","1251"
"ID03","Old","NonVoice","1","o","1154"
"ID01","New","NonVoice","1","n","2076"
"ID03","New","NonVoice","1","n","1295"
"ID04","New","NonVoice","1","n","1114"
